CHR	START	STOP	GENE	REGION_COV	AVG_AUTOSOMAL_COV	AVG_TOTAL_COV	AVG_GENE_COV	NORMALIZED_AUTOSOMAL	NORMALIZED_TOTAL	NORMALIZED_GENE
1	17018880	17018959	SDHB	1117.91	1165.94665820312	1165.94665820312	844.594125	0.958800295137725	0.958800295137725	1.32360617592503
1	17022607	17022731	SDHB	464.6	1165.94665820312	1165.94665820312	844.594125	0.39847449000455	0.39847449000455	0.550086705848208
1	17023972	17024075	SDHB	1044.42	1165.94665820312	1165.94665820312	844.594125	0.895769967392494	0.895769967392494	1.23659396754625
1	17027748	17027866	SDHB	907.076	1165.94665820312	1165.94665820312	844.594125	0.777973840928471	0.777973840928471	1.07397858113209
1	17028599	17028737	SDHB	1263.61	1165.94665820312	1165.94665820312	844.594125	1.08376313025108	1.08376313025108	1.49611507183998
1	17033059	17033146	SDHB	744.511	1165.94665820312	1165.94665820312	844.594125	0.638546364674511	0.638546364674511	0.881501514114842
1	17044760	17044889	SDHB	628.815	1165.94665820312	1165.94665820312	844.594125	0.53931712533838	0.53931712533838	0.74451737395166
1	17053947	17054020	SDHB	585.811	1165.94665820312	1165.94665820312	844.594125	0.502433791356125	0.502433791356125	0.693600609641939
1	45329305	45329438	MUTYH	692.455	1165.94665820312	1165.94665820312	898.4996875	0.593899382212873	0.593899382212873	0.770679177336943
1	45330515	45330558	MUTYH	871.568	1165.94665820312	1165.94665820312	898.4996875	0.747519617529673	0.747519617529673	0.97002593559611
1	45331181	45331335	MUTYH	1656.85	1165.94665820312	1165.94665820312	898.4996875	1.42103413423168	1.42103413423168	1.84401844880998
1	45331419	45331557	MUTYH	344.072	1165.94665820312	1165.94665820312	898.4996875	0.295100978744825	0.295100978744825	0.382940589503544
1	45331660	45331850	MUTYH	531.743	1165.94665820312	1165.94665820312	898.4996875	0.456061172489216	0.456061172489216	0.591812114570157
1	45332022	45332087	MUTYH	690.409	1165.94665820312	1165.94665820312	898.4996875	0.592144584953835	0.592144584953835	0.768402047997373
