581:0:1	6.049	1	0	1	0	0.7228	0.7529	4e-06	4.573
581:2:3	4.317	1	0	1	0	0.541	0.5478	4e-06	3.228
21:83:84	3.632	1	0	1	0	0.4733	0.5062	4e-06	2.653
21:69:69	3.435	2	1	2	0	0.6524	2.781	1.2e-05	0.001427
1286:0:1	3.408	1	0	1	0	0.4585	0.4672	4e-06	2.482
1113:2:2	3.244	1	1	0	1	0.1405	0.4653	6e-06	2.638
21:16:18	3.208	1	0	1	0	0.3897	0.4139	4e-06	2.404
887:0:0	3.184	0	1	0	1	0.2107	0.2825	0.005275	2.69
888:0:0	3.145	0	1	0	1	0.2316	0.2986	0.03782	2.614
21:20:21	3.137	1	0	1	0	0.1338	0.2427	5e-06	2.76
362:1:2	2.998	1	0	1	0	0.2062	0.1589	3e-06	2.633
1395:0:0	2.969	0	1	0	1	0.2748	0.5065	0.01387	2.188
891:0:1	2.823	1	0	0	0	0.6891	0.6991	5e-06	1.435
401:0:1	2.748	1	0	1	0	0.2161	0.2414	4e-06	2.29
1205:0:0	2.723	1	0	1	0	0.2248	0.4381	5e-06	2.06
24:0:1	2.699	1	0	1	0	0.4032	0.4223	5e-06	1.874
891:1:1	2.659	1	1	0	0	0.3788	1.146	1.2e-05	1.134
1645:0:1	2.516	1	0	1	0	0.1757	0.1887	4e-06	2.151
975:0:1	2.497	1	0	0	0	0.6172	0.6661	4e-06	1.213
779:0:1	2.456	1	0	1	0	0.2001	0.2973	4e-06	1.958
17:1:2	2.366	1	0	1	0	0.09791	0.1512	2e-06	2.117
972:0:1	2.352	1	0	1	0	0.0873	0.1161	4e-06	2.148
1315:0:0	2.339	0	3	0	3	0.4927	1.846	0.05574	0.001116
1432:0:1	2.297	1	0	0	0	0.6592	0.6728	4e-06	0.9649
885:0:0	2.282	0	1	0	1	0.1917	1.005	2e-06	1.085
886:0:0	2.266	0	1	0	1	0.1851	0.9484	0.000339	1.133
19:0:0	2.256	0	1	0	1	0.0361	0.1025	0.024	2.118
1381:0:0	2.167	1	1	1	0	0.133	0.3932	6e-06	1.641
21:38:44	2.055	1	0	1	0	0.08308	0.08324	4e-06	1.888
353:0:1	1.998	1	0	1	0	0.2282	0.2473	4e-06	1.523
71:104:112	1.927	1	0	0	0	0.4672	0.6047	6e-06	0.8552
751:1:2	1.912	1	0	1	0	0.06318	0.07662	3e-06	1.773
103:0:1	1.904	1	0	1	0	0.1523	0.1752	4e-06	1.577
201:0:2	1.875	1	0	0	0	0.4723	0.4653	4e-06	0.9372
