CHR	START	STOP	GENE	17401.best.score.totallist	17320.best.score.totallist	17370.best.score.totallist	17300.best.score.totallist	17392.best.score.totallist	17367.best.score.totallist	17316.best.score.totallist	17299.best.score.totallist	17397.best.score.totallist	17398.best.score.totallist	17360.best.score.totallist	17329.best.score.totallist	17327.best.score.totallist	17391.best.score.totallist	17306.best.score.totallist	17311.best.score.totallist	17308.best.score.totallist	17315.best.score.totallist	17384.best.score.totallist	17386.best.score.totallist	17319.best.score.totallist	17304.best.score.totallist	17314.best.score.totallist	17389.best.score.totallist	17369.best.score.totallist	17309.best.score.totallist	17313.best.score.totallist	17364.best.score.totallist	17362.best.score.totallist	17312.best.score.totallist	17365.best.score.totallist	17301.best.score.totallist	17374.best.score.totallist	17328.best.score.totallist	17368.best.score.totallist	17373.best.score.totallist	17298.best.score.totallist	17387.best.score.totallist	17403.best.score.totallist	17310.best.score.totallist	17399.best.score.totallist	17382.best.score.totallist	17402.best.score.totallist	17296.best.score.totallist	17333.best.score.totallist	17326.best.score.totallist	17376.best.score.totallist	17330.best.score.totallist	17317.best.score.totallist	17361.best.score.totallist	17305.best.score.totallist
1	17018880	17018959	SDHB	0.0363997275420796	0.0401381233437835	0.0525221752218985	0.0396655231338725	0.0531133650973463	0.0446833879431385	0.0439993717454357	0.0427210932358214	0.0532967716891296	0.0429371532624003	0.0529922561167016	0.0407073488410301	0.0371280602077579	0.0403289163358392	0.0435472411269386	0.0379541099132821	0.0406147604430419	0.0448121715975493	0.0489309297965697	0.0500176481830647	0.0394217693097326	0.0434316886457633	0.0446077598159427	0.0347990353986037	0.054837085885359	0.0400545654596555	0.0422194846965751	0.0510129213232885	0.0524398413361494	0.0361020246761669	0.0513700707381179	0.0403965090385717	0.0396570986127242	0.040205622999773	0.0360486240147781	0.0512451464947791	0.0440002408397289	0.0456526348161942	0.0467654669888224	0.0438590705787425	0.0422044317516287	0.0533833701053885	0.0533579488028493	0.0399826696487756	0.0381537342091389	0.0384579795755837	0.0396055939264797	0.0439563557662142	0.0438997114321648	0.0528712068458352	0.0436388165484087
1	17022607	17022731	SDHB	0.0745033274003018	0.0747779939126932	0.0749924384466077	0.0709214034818696	0.0851153029064918	0.0641391066683689	0.0738131027504548	0.0824146070892019	0.0724587928226502	0.0730725512359945	0.090554945770564	0.0742975756908206	0.0719714966346869	0.0711364138670916	0.078609481899386	0.0721391104604789	0.0802239449626817	0.0791007086832053	0.0750097487097586	0.0764718406649154	0.0749677058247609	0.077251362812147	0.0786617821874076	0.0640898027195965	0.0877030875643981	0.0733659012769593	0.0825962007511063	0.0824640554888582	0.0820151456859742	0.0740972288833329	0.0701521407037342	0.0673587468803503	0.0733671581868478	0.0741045504832335	0.0690822789623645	0.0755198920385922	0.0778258135900885	0.0828134080290189	0.078892968642001	0.0772357929719447	0.0738968829066447	0.0748105534183557	0.0755074074944706	0.0620929276073993	0.069029559547622	0.0782498438242322	0.074658668373357	0.0783474753648257	0.0750141306183627	0.086606325668775	0.0764484633383834
1	17023972	17024075	SDHB	0.0794669629309475	0.0810613576866083	0.0675894800549244	0.0745438519520523	0.0736646552458969	0.06319270091151	0.0775885520111237	0.0710294002225123	0.071922202016087	0.0770344544706671	0.0745074148512451	0.0760148766125465	0.0782548766288556	0.0733828155436743	0.0761082417603139	0.0775842745183453	0.0712138952857111	0.0768160037522677	0.0657765947325756	0.0744727707689353	0.0741273394760408	0.0739411790420041	0.0712698387167913	0.0709234757918394	0.0704973221220243	0.0752332456280296	0.0723104101797574	0.062824350449014	0.0718438558086238	0.0743678825765628	0.0735082796898094	0.0791471129285569	0.0812465672346126	0.0743666209432897	0.0752149397612962	0.0739276649261509	0.0710093545359735	0.0722081491270267	0.0676971753205316	0.0720371601527856	0.0726354436213973	0.0678279206010727	0.0667039402646228	0.084504380723599	0.0778402333098699	0.0739979357714323	0.0658453535251774	0.0696026110251456	0.0769936820437147	0.0738476795934146	0.0745249889530284
1	17027748	17027866	SDHB	0.0644729173458826	0.0785187790784407	0.057573704796913	0.0814892260075617	0.0575258304949929	0.0683716130706162	0.0786719905554817	0.084054982485037	0.0576482224470799	0.0776641074896376	0.0548738636116379	0.0791478527692488	0.0724742163916135	0.0619606577330225	0.0800802827046039	0.0648079747085384	0.0808024389888704	0.0766529292157636	0.0687616841398318	0.0578774609214058	0.0819384889549211	0.0830668696710962	0.0777511825845514	0.0648076186694909	0.0579082503227367	0.0814357464441302	0.079880907338291	0.056934394528748	0.0546089859052596	0.0818616991146578	0.0577690058632473	0.0784275519600739	0.0653377041656618	0.0798486879368402	0.0649098056761251	0.0699177463423623	0.0784460285027716	0.0586855862415029	0.0573545239753585	0.0832676022551566	0.0754791850154694	0.0578549159053509	0.0600190006449818	0.0680534408523381	0.0711950778475502	0.08097639169469	0.0733278141573205	0.0776557731119378	0.0779158680470019	0.0543149467348807	0.0830485296523984
1	17028599	17028737	SDHB	0.0473042991528473	0.0431471010983026	0.0516182255823078	0.0442191391747222	0.0570799599052809	0.0574243659780272	0.0483773139801685	0.0388929427889116	0.0562825037334417	0.0485844083292823	0.0501379667259096	0.0423270670676325	0.0457104424402974	0.0524046307158019	0.0452919450271139	0.0456630920362994	0.0460935405563564	0.0444734988054781	0.0578105811185984	0.0511563853115048	0.0442325683747642	0.0460139641478195	0.045083018275789	0.0579007862385439	0.0519988880154841	0.0440455305419366	0.0395505853953111	0.0493450632907419	0.0448399897659369	0.0446817618059031	0.0544525739330566	0.045903879556399	0.0443900512178823	0.0456076851168602	0.057913190708658	0.0584236518346274	0.0463061999855113	0.0496580052729331	0.0480409616424725	0.0460139827890455	0.0509402629710695	0.051606253098302	0.0503983165653824	0.0582326207947421	0.0470767096309953	0.0435992233140923	0.0511931673050783	0.0431537192074728	0.0483792829757591	0.0501151098367459	0.0439059597775288
1	17033059	17033146	SDHB	0.0476994743380994	0.0474555467285304	0.0461400882185989	0.0474876935942132	0.0447282332593998	0.0416111800743595	0.0507513966851155	0.0507421613939381	0.0425675108286215	0.0425661021607601	0.040315828200857	0.047335926575215	0.0464720291406439	0.0430887726760924	0.0534835120732906	0.0462814244012083	0.0484996816651445	0.052390449743489	0.0409419256668457	0.0478260237471506	0.0442609591603109	0.0475618800975644	0.0532195212521301	0.04394719711825	0.0469561893995224	0.0460280742471643	0.0525380955092884	0.0442757735825335	0.0461896973239572	0.052737114833399	0.044533995638507	0.0466841975481615	0.0469435355567206	0.0528586257364642	0.0434371507807773	0.0437401986523911	0.0483671499066501	0.0468780170041024	0.045700898725799	0.0527388092537658	0.0396798311372144	0.04681875955382	0.0474827851908967	0.0436962904604211	0.0456500784776456	0.0469862837813835	0.0445180810155139	0.0460843046232876	0.0520590026405168	0.0412602464241194	0.0520869498975836
1	17044760	17044889	SDHB	0.061354854559936	0.0691135203769773	0.0578779460142967	0.0693242543742272	0.0581408629668736	0.0574268268340606	0.0688145895876696	0.0681901790443384	0.0581311729244441	0.0630659975544858	0.05458459164416	0.0711266294246427	0.0600360174055925	0.0613868564519532	0.0702857707880965	0.0610765886631545	0.070438844823445	0.0720585921885428	0.0583871293327655	0.0607463381543513	0.0665686761560653	0.0688898321653834	0.0681538062790362	0.0603568930673354	0.0580024910347919	0.0698508319459884	0.0695805277757515	0.0553905967939111	0.0540076169288215	0.0685032061251189	0.0616589617289671	0.0701547606256143	0.0700202235587341	0.0693830060122016	0.0622327939510361	0.0592345129639052	0.0696717720155607	0.0563087829320321	0.0559164374788747	0.0684617648585823	0.0553952352254106	0.0581973938258738	0.0603541430231999	0.0593132866063929	0.062219478934623	0.0677030969190563	0.0621447609828845	0.069799626204685	0.0700457852649713	0.0546723714941291	0.0688070587681452
1	17053947	17054020	SDHB	0.105769610805944	0.149066247535211	0.137094348731526	0.148244210621129	0.136711971523431	0.13842945530079	0.108063444398507	0.142398063614264	0.137512089602621	0.142458068693434	0.13822489438008	0.149241161136572	0.146538489516318	0.0956382814186147	0.108597560910737	0.146576243025386	0.144895541927134	0.104662552974213	0.0911006904589151	0.134758733403504	0.148439076289195	0.145742688860298	0.107428208780994	0.139076190317857	0.132936192013782	0.148840043438755	0.142370383532093	0.13478827103115	0.135968964598145	0.148973979465139	0.140283624493756	0.148082331773655	0.106990802857879	0.148609482324217	0.0926154903458219	0.136755915342967	0.104380056995806	0.130913405817557	0.135194123104381	0.143017863608026	0.0968279989821472	0.137448587710663	0.132221962836551	0.106514223618494	0.145453972418017	0.146959604379774	0.135070525421022	0.144823324137848	0.107367547813138	0.136220061642023	0.145867258462184
1	45329305	45329438	MUTYH	0.0456486095687929	0.0455783122982177	0.065587039520657	0.0482633906650524	0.0655112013778145	0.0537533185651134	0.0480102696902133	0.0448675047214716	0.0577001730292045	0.0453983887844208	0.0674874599330493	0.0457960702089004	0.0454316661322159	0.0511511894903423	0.0450600486841806	0.0443287534236424	0.0468233252730795	0.0437255537257081	0.0552339235424771	0.0627893814459377	0.0477289534776346	0.0469854995051794	0.0458529197527406	0.0549110606491348	0.0664599674967985	0.0482178815350665	0.0439290196986397	0.0661158114265077	0.0665349699957019	0.0468532063338144	0.0552016914470249	0.0457722229052941	0.046552690561434	0.0459294906924051	0.0544607913867275	0.0557503802903693	0.0463625143331287	0.0669471500919395	0.0669476278005463	0.0463513969990058	0.0467856683216089	0.06546164297375	0.0635559352276722	0.0520780952894586	0.0439863895385442	0.049963735349569	0.0522928296985848	0.0453173264356386	0.0461203537085664	0.0596597780122337	0.0465832429046572
1	45330515	45330558	MUTYH	0.0510289061303004	0.0512421555050671	0.0492866653522245	0.0471336302325163	0.0509331737218794	0.0446161304251617	0.0477578027438618	0.0534179044238407	0.0480085487630542	0.0463514709040394	0.0501750729759775	0.0510641359366057	0.050528724039422	0.0477632925046507	0.0525832765860952	0.0511009097286916	0.0517672313613875	0.0526826545402005	0.045341565300347	0.0453343705786695	0.0465165323892845	0.0478740898937723	0.0528196050757506	0.0457685189442245	0.0488553154139022	0.0472694018188985	0.0532396532513921	0.0521250834082882	0.0493821322718734	0.0456588394006828	0.0479854191176471	0.0491188497749912	0.0525854179838448	0.0469155740672469	0.0458293268777819	0.0483803616939821	0.0494305767496116	0.0515247297199529	0.0497588956754416	0.0487549395897746	0.0487631712661195	0.0483665836498576	0.0518549384277877	0.0489728881620538	0.047627524438799	0.0487249031515447	0.0483720500356964	0.0495810307055223	0.045407077937267	0.0490829216436754	0.0494749385006813
