CHR	START	STOP	GENE	REGION_COV	AVG_AUTOSOMAL_COV	AVG_TOTAL_COV	AVG_GENE_COV	NORMALIZED_AUTOSOMAL	NORMALIZED_TOTAL	NORMALIZED_GENE
1	17018880	17018959	SDHB	1320.01	1459.62374255692	1459.62374255692	1034.06775	0.904349498787716	0.904349498787716	1.27652177528987
1	17022607	17022731	SDHB	429.376	1459.62374255692	1459.62374255692	1034.06775	0.294168961137775	0.294168961137775	0.415230046580604
1	17023972	17024075	SDHB	1269.27	1459.62374255692	1459.62374255692	1034.06775	0.86958711549631	0.86958711549631	1.22745342362722
1	17027748	17027866	SDHB	1179.78	1459.62374255692	1459.62374255692	1034.06775	0.808276794630171	0.808276794630171	1.14091170525335
1	17028599	17028737	SDHB	1615.72	1459.62374255692	1459.62374255692	1034.06775	1.10694280511609	1.10694280511609	1.56248949839118
1	17033059	17033146	SDHB	912.023	1459.62374255692	1459.62374255692	1034.06775	0.624834314083128	0.624834314083128	0.881976060079235
1	17044760	17044889	SDHB	796.877	1459.62374255692	1459.62374255692	1034.06775	0.545946860664282	0.545946860664282	0.77062358825135
1	17053947	17054020	SDHB	749.486	1459.62374255692	1459.62374255692	1034.06775	0.5134789042874	0.5134789042874	0.72479390252718
1	45329305	45329438	MUTYH	774.075	1459.62374255692	1459.62374255692	960.764375	0.530325026533209	0.530325026533209	0.80568661801183
1	45330515	45330558	MUTYH	811.295	1459.62374255692	1459.62374255692	960.764375	0.555824748766282	0.555824748766282	0.844426605638869
1	45331181	45331335	MUTYH	1779.91	1459.62374255692	1459.62374255692	960.764375	1.21943069854565	1.21943069854565	1.85259783388617
1	45331419	45331557	MUTYH	397.137	1459.62374255692	1459.62374255692	960.764375	0.272081762183663	0.272081762183663	0.413355251645337
1	45331660	45331850	MUTYH	582.403	1459.62374255692	1459.62374255692	960.764375	0.399008993221614	0.399008993221614	0.606187130949771
1	45332022	45332087	MUTYH	744.727	1459.62374255692	1459.62374255692	960.764375	0.510218474999189	0.510218474999189	0.775140106542772
1	45332165	45332311	MUTYH	809.122	1459.62374255692	1459.62374255692	960.764375	0.554336008937898	0.554336008937898	0.842164864824427
1	45332390	45332489	MUTYH	668.51	1459.62374255692	1459.62374255692	960.764375	0.458001593498971	0.458001593498971	0.695810562293174
1	45332573	45332688	MUTYH	995.5	1459.62374255692	1459.62374255692	960.764375	0.682025080145735	0.682025080145735	1.03615415590321
1	45332762	45332835	MUTYH	1384.41	1459.62374255692	1459.62374255692	960.764375	0.948470458266757	0.948470458266757	1.44094643392663
1	45332917	45332960	MUTYH	912.727	1459.62374255692	1459.62374255692	960.764375	0.625316630161905	0.625316630161905	0.950000878207
1	45333096	45333171	MUTYH	838.974	1459.62374255692	1459.62374255692	960.764375	0.574787854937406	0.574787854937406	0.873235958608478
1	45333284	45333325	MUTYH	1383.69	1459.62374255692	1459.62374255692	960.764375	0.947977180458917	0.947977180458917	1.4401970306195
1	45333412	45333604	MUTYH	1086.91	1459.62374255692	1459.62374255692	960.764375	0.744650808499448	0.744650808499448	1.13129715077123
1	45334390	45334512	MUTYH	1184.76	1459.62374255692	1459.62374255692	960.764375	0.811688632801066	0.811688632801066	1.23314314188638
1	45340218	45340255	MUTYH	1018.08	1459.62374255692	1459.62374255692	960.764375	0.697494820286057	0.697494820286057	1.05965627628522
1	241497827	241497971	FH	1568.41	1459.62374255692	1459.62374255692	2011.861	1.07453034249259	1.07453034249259	0.779581690782812
1	241500436	241500591	FH	1949.41	1459.62374255692	1459.62374255692	2011.861	1.33555651580803	1.33555651580803	0.968958591075626
1	241502442	241502571	FH	2216.63	1459.62374255692	1459.62374255692	2011.861	1.5186310933234	1.5186310933234	1.1017808884411
1	241504041	241504246	FH	2635.23	1459.62374255692	1459.62374255692	2011.861	1.80541732993716	1.80541732993716	1.30984695264732
1	241506002	241506169	FH	2524.83	1459.62374255692	1459.62374255692	2011.861	1.72978139940166	1.72978139940166	1.25497238626327
1	241508602	241508786	FH	1520.45	1459.62374255692	1459.62374255692	2011.861	1.0416725596259	1.0416725596259	0.755743065748578
1	241511966	241512144	FH	2226.17	1459.62374255692	1459.62374255692	2011.861	1.52516702427728	1.52516702427728	1.1065227667319
1	241513602	241513714	FH	1479.2	1459.62374255692	1459.62374255692	2011.861	1.01341185188505	1.01341185188505	0.735239661189317
1	241517181	241517317	FH	1389.83	1459.62374255692	1459.62374255692	2011.861	0.952183743986888	0.952183743986888	0.690818103238742
1	241519590	241519723	FH	2608.45	1459.62374255692	1459.62374255692	2011.861	1.78707013591777	1.78707013591777	1.29653589388134
2	47369505	47369582	EPCAM	258.718	1459.62374255692	1459.62374255692	1003.18366666667	0.177249788734449	0.177249788734449	0.257896942101995
2	47373462	47373571	EPCAM	1208.45	1459.62374255692	1459.62374255692	1003.18366666667	0.827918842895141	0.827918842895141	1.20461490767227
2	47373807	47374049	EPCAM	928.584	1459.62374255692	1459.62374255692	1003.18366666667	0.636180388771519	0.636180388771519	0.92563708008271
