GraphBuildTime	0.0520h wall, 0.0489h user + 0.0014h system = 0.0503h CPU (96.57%)
GraphMergeTime	0.0000h wall, 0.0000h user + 0.0000h system = 0.0000h CPU (90.15%)
disjointSubgraphs	2197
nodes	2998
directedEdges	3652
selfEdges	2032
totalGraphEvidence	69330
totalCleaned	39334
highestSearchCount	199
isMaxSearchCount	0
highestSearchDensity	0.186538
isMaxSearchDensity	0

[Sample0]
Source	/home/robin/Documents/Project/Samples/bam/all/17302.bam
MinMapqFiltered	247855	0.0533
NotFiltered	4399967	0.9467
NotFilteredAndIgnored	4207620	0.9053
NotFilteredAndAnomalousPair	189847	0.0408
NotFilteredAndAnomalousPairRemotes	1538	0.0003
NotFilteredAndSplitRead	747	0.0002
NotFilteredAndSplitReadInAnomalousPair	78	0.0000
NotFilteredAndSplitReadSupplementarySegments	407	N/A
NotFilteredAndLargeIndel	976	0.0002
NotFilteredAndSemiAligned	995	0.0002
EvidenceType_pair	0	0.0000
EvidenceType_local_pair	2231	0.4442
EvidenceType_cigar	977	0.1945
EvidenceType_softclip	0	0.0000
EvidenceType_semialign	1001	0.1993
EvidenceType_shadow	0	0.0000
EvidenceType_split_align	814	0.1621
EvidenceType_unknown	0	0.0000
ClosePairs	619

[Sample1]
Source	/home/robin/Documents/Project/Samples/bam/all/17303.bam
MinMapqFiltered	454959	0.0617
NotFiltered	6921749	0.9383
NotFilteredAndIgnored	6683568	0.9060
NotFilteredAndAnomalousPair	232826	0.0316
NotFilteredAndAnomalousPairRemotes	2132	0.0003
NotFilteredAndSplitRead	1365	0.0002
NotFilteredAndSplitReadInAnomalousPair	175	0.0000
NotFilteredAndSplitReadSupplementarySegments	624	N/A
NotFilteredAndLargeIndel	2650	0.0004
NotFilteredAndSemiAligned	1710	0.0002
EvidenceType_pair	0	0.0000
EvidenceType_local_pair	2819	0.3343
EvidenceType_cigar	2652	0.3145
EvidenceType_softclip	0	0.0000
EvidenceType_semialign	1715	0.2034
EvidenceType_shadow	0	0.0000
EvidenceType_split_align	1246	0.1478
EvidenceType_unknown	0	0.0000
ClosePairs	482

[Sample2]
Source	/home/robin/Documents/Project/Samples/bam/all/17304.bam
MinMapqFiltered	319638	0.0509
NotFiltered	5961463	0.9491
NotFilteredAndIgnored	5750177	0.9155
NotFilteredAndAnomalousPair	207655	0.0331
NotFilteredAndAnomalousPairRemotes	1804	0.0003
NotFilteredAndSplitRead	832	0.0001
NotFilteredAndSplitReadInAnomalousPair	90	0.0000
NotFilteredAndSplitReadSupplementarySegments	377	N/A
NotFilteredAndLargeIndel	1843	0.0003
NotFilteredAndSemiAligned	1202	0.0002
EvidenceType_pair	0	0.0000
EvidenceType_local_pair	2594	0.4061
EvidenceType_cigar	1843	0.2886
EvidenceType_softclip	0	0.0000
EvidenceType_semialign	1206	0.1888
EvidenceType_shadow	0	0.0000
EvidenceType_split_align	744	0.1165
EvidenceType_unknown	0	0.0000
ClosePairs	687

[Sample3]
Source	/home/robin/Documents/Project/Samples/bam/all/17305.bam
MinMapqFiltered	407615	0.0534
NotFiltered	7220835	0.9466
NotFilteredAndIgnored	6989192	0.9162
NotFilteredAndAnomalousPair	227962	0.0299
NotFilteredAndAnomalousPairRemotes	2192	0.0003
NotFilteredAndSplitRead	1175	0.0002
NotFilteredAndSplitReadInAnomalousPair	138	0.0000
NotFilteredAndSplitReadSupplementarySegments	590	N/A
NotFilteredAndLargeIndel	1447	0.0002
NotFilteredAndSemiAligned	1345	0.0002
EvidenceType_pair	0	0.0000
EvidenceType_local_pair	3271	0.4516
EvidenceType_cigar	1448	0.1999
EvidenceType_softclip	0	0.0000
EvidenceType_semialign	1348	0.1861
EvidenceType_shadow	0	0.0000
EvidenceType_split_align	1176	0.1624
EvidenceType_unknown	0	0.0000
ClosePairs	879

[Sample4]
Source	/home/robin/Documents/Project/Samples/bam/all/17306.bam
