GraphBuildTime	0.0688h wall, 0.0639h user + 0.0024h system = 0.0663h CPU (96.32%)
GraphMergeTime	0.0000h wall, 0.0000h user + 0.0000h system = 0.0000h CPU (90.76%)
disjointSubgraphs	3456
nodes	5915
directedEdges	8617
selfEdges	3617
totalGraphEvidence	173207
totalCleaned	67444
highestSearchCount	220
isMaxSearchCount	0
highestSearchDensity	0.211335
isMaxSearchDensity	0

[Sample0]
Source	/home/robin/Documents/Project/Samples/bam/all/17332.bam
MinMapqFiltered	528504	0.0486
NotFiltered	10356938	0.9514
NotFilteredAndIgnored	10117914	0.9295
NotFilteredAndAnomalousPair	232582	0.0214
NotFilteredAndAnomalousPairRemotes	3271	0.0003
NotFilteredAndSplitRead	1600	0.0001
NotFilteredAndSplitReadInAnomalousPair	195	0.0000
NotFilteredAndSplitReadSupplementarySegments	698	N/A
NotFilteredAndLargeIndel	2764	0.0003
NotFilteredAndSemiAligned	2459	0.0002
EvidenceType_pair	0	0.0000
EvidenceType_local_pair	4395	0.3986
EvidenceType_cigar	2765	0.2508
EvidenceType_softclip	0	0.0000
EvidenceType_semialign	2472	0.2242
EvidenceType_shadow	0	0.0000
EvidenceType_split_align	1394	0.1264
EvidenceType_unknown	0	0.0000
ClosePairs	861

[Sample1]
Source	/home/robin/Documents/Project/Samples/bam/all/17333.bam
MinMapqFiltered	850223	0.0537
NotFiltered	14989333	0.9463
NotFilteredAndIgnored	14690586	0.9275
NotFilteredAndAnomalousPair	289148	0.0183
NotFilteredAndAnomalousPairRemotes	4555	0.0003
NotFilteredAndSplitRead	2811	0.0002
NotFilteredAndSplitReadInAnomalousPair	408	0.0000
NotFilteredAndSplitReadSupplementarySegments	1464	N/A
NotFilteredAndLargeIndel	3580	0.0002
NotFilteredAndSemiAligned	3947	0.0002
EvidenceType_pair	0	0.0000
EvidenceType_local_pair	6117	0.3691
EvidenceType_cigar	3582	0.2161
EvidenceType_softclip	0	0.0000
EvidenceType_semialign	3957	0.2387
EvidenceType_shadow	0	0.0000
EvidenceType_split_align	2918	0.1761
EvidenceType_unknown	0	0.0000
ClosePairs	802

[Sample2]
Source	/home/robin/Documents/Project/Samples/bam/all/17334.bam
MinMapqFiltered	608207	0.0509
NotFiltered	11343634	0.9491
NotFilteredAndIgnored	11084841	0.9275
NotFilteredAndAnomalousPair	249868	0.0209
NotFilteredAndAnomalousPairRemotes	4095	0.0003
NotFilteredAndSplitRead	3043	0.0003
NotFilteredAndSplitReadInAnomalousPair	639	0.0001
NotFilteredAndSplitReadSupplementarySegments	2000	N/A
NotFilteredAndLargeIndel	3549	0.0003
NotFilteredAndSemiAligned	3389	0.0003
EvidenceType_pair	0	0.0000
EvidenceType_local_pair	6774	0.3823
EvidenceType_cigar	3551	0.2004
EvidenceType_softclip	0	0.0000
EvidenceType_semialign	3410	0.1924
EvidenceType_shadow	0	0.0000
EvidenceType_split_align	3984	0.2248
EvidenceType_unknown	0	0.0000
ClosePairs	928

[Sample3]
Source	/home/robin/Documents/Project/Samples/bam/all/17335.bam
MinMapqFiltered	603437	0.0519
NotFiltered	11025450	0.9481
NotFilteredAndIgnored	10688185	0.9191
NotFilteredAndAnomalousPair	326734	0.0281
NotFilteredAndAnomalousPairRemotes	4572	0.0004
NotFilteredAndSplitRead	3945	0.0003
NotFilteredAndSplitReadInAnomalousPair	777	0.0001
NotFilteredAndSplitReadSupplementarySegments	2520	N/A
NotFilteredAndLargeIndel	4295	0.0004
NotFilteredAndSemiAligned	3680	0.0003
EvidenceType_pair	0	0.0000
EvidenceType_local_pair	7877	0.3770
EvidenceType_cigar	4295	0.2055
EvidenceType_softclip	0	0.0000
EvidenceType_semialign	3688	0.1765
EvidenceType_shadow	0	0.0000
EvidenceType_split_align	5036	0.2410
EvidenceType_unknown	0	0.0000
ClosePairs	1495

[Sample4]
